Player,Nation,Pos,Age,Born,X90s.x,Tackles.Tkl,Tackles.TklW,Tackles.Def.3rd,Tackles.Mid.3rd,Tackles.Att.3rd,Vs.Dribbles.Tkl,Vs.Dribbles.Att,Vs.Dribbles.Tkl.,Vs.Dribbles.Past,Pressures.Press,Pressures.Succ,Pressures..,Pressures.Def.3rd,Pressures.Mid.3rd,Pressures.Att.3rd,Blocks.Blocks,Blocks.Sh,Blocks.ShSv,Blocks.Pass,Int,Tkl.Int,Clr,Err,League.x,Year.x,Player_imp,Nation_imp,Pos_imp,Age_imp,Born_imp,X90s_imp,Tackles.Tkl_imp,Tackles.TklW_imp,Tackles.Def.3rd_imp,Tackles.Mid.3rd_imp,Tackles.Att.3rd_imp,Vs.Dribbles.Tkl_imp,Vs.Dribbles.Att_imp,Vs.Dribbles.Tkl._imp,Vs.Dribbles.Past_imp,Pressures.Press_imp,Pressures.Succ_imp,Pressures.._imp,Pressures.Def.3rd_imp,Pressures.Mid.3rd_imp,Pressures.Att.3rd_imp,Blocks.Blocks_imp,Blocks.Sh_imp,Blocks.ShSv_imp,Blocks.Pass_imp,Int_imp,Tkl.Int_imp,Clr_imp,Err_imp,League_imp,Year_imp,2021 Tournament Place,Results,group,X90s.y,Gls,Standard.Sh,Standard.SoT,Standard.SoT.,Standard.Sh.90,Standard.SoT.90,Standard.G.Sh,Standard.G.SoT,Standard.Dist,Performance.PK,Performance.PKatt,League.y,Year.y,Standard.FK,Expected.xG,Expected.npxG,Expected.npxG.Sh,X90s,Total.Cmp,Total.Att,Total.Cmp.,Total.TotDist,Total.PrgDist,Short.Cmp,Short.Att,Short.Cmp.,Medium.Cmp,Medium.Att,Medium.Cmp.,Long.Cmp,Long.Att,Long.Cmp.,Ast,xA,A.xA,KP,X1.3,PPA,CrsPA,Prog,score_def,score_pass,score_shoot,score_gk,skill_score
A. Khainza,Sobianitedrucy,GK,21,1999,3.0639142472733,-0.821223076642262,-0.706612498684574,-0.641693375534292,-0.573421698739807,-0.327512496603857,-0.590921597996006,-0.774152561890493,-1.06123540824099,-0.701080083969737,-1.46022661663269,-1.17910207981378,1.24738766771678,-1.10189406890436,-1.18613001218987,-0.812110172148333,-0.787917387026342,-0.336559547348511,0.0351953712150512,-0.671462669268342,-0.636557199074628,-0.940317711425886,-0.680528520809822,2.16019354960884,Tournament,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,29,Very Good,3.09263809266292,-0.207781640403102,-0.589466955433306,-0.515890504573607,-0.666834943928675,-0.51706440143854,-0.500339190359459,-0.670111099000414,-0.315513031511607,1.26593349720319,-1.44231601629658,-0.0108496857288613,Tournament,2021,-0.343325508522532,-0.615265301433634,-0.362296289165887,-0.279658847417058,3.11257361052298,-0.562083598438589,-0.625899441193085,0.177093881836155,-0.215223771152956,0.970499713336324,-0.834861793518135,-0.960091079986259,0.801626598661124,-0.424952158540946,-0.568213037235774,0.825899853865712,0.417419808963587,0.621035328865327,-0.169359236887022,-0.526667614214308,-0.475376082791401,-0.117531211067763,-0.6513013358464,-0.874584688485452,-0.602379375760564,-0.34014011937336,-1.04869495877538,-0.447826844886287,-0.0295793671258515,-1.14141978095349,26.2932016896457,64.9235912276315
B. Harahap,Esia,GK,34,1986,0.932400687090653,-0.794728857248004,-0.659448083608357,-0.641693375534292,-0.513658805100234,-0.461622921057544,-0.465869672661205,-0.76870070461071,-0.243391517666181,-0.686364940701899,-1.46395844898561,-1.19844517497126,0.272309506698099,-1.12100613341252,-1.18082848404468,-0.790954244363465,-0.78217544083333,-0.41146425657901,0.56983634095653,-0.664423641479402,-0.631302358287207,-0.947280121518452,-0.684516200090273,-0.906000219440857,Tournament,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14,16,Okay,0.836308377263471,0.00422017668680137,-0.556356388636295,-0.502719291523909,-0.666834943928675,-0.533845675220368,-0.477316652535178,-0.0768581365311904,-0.432334244999972,0.621445131522661,-1.30646382252072,-1.24216285681824,Tournament,2021,0.075880950590885,-0.538749127351164,-0.165282037869973,-0.279658847417058,0.843953153341754,-0.308733415731369,-0.401767389003071,0.369372844677611,0.35913963106058,1.81040967297221,-1.09602230434219,-1.2219965077833,0.947863910262028,-0.163351183130479,-0.364195597931165,0.984195619214384,1.56006317521793,1.44619190339771,0.277789749150061,0.0391927903136144,-0.828023959764602,-0.117531211067763,-0.605586118026473,-0.839693676330674,-0.68461904683114,-0.359755857763126,-1.04869495877538,0.958424966980555,1.28089823793973,-1.955433082659,-24.7935334349948,-61.8418885263565
C. Musana,Nganion,GK,23,1997,2.60319647254632,-0.826521920521113,-0.761637649606828,-0.701995006048587,-0.573421698739807,-0.37780390577399,-0.622184579329707,-0.752345132771361,0.0310858330693368,-0.649577082532304,-1.46582436516207,-1.20120847427948,-1.68255165568193,-1.0976469434581,-1.17022542775429,-0.809994579369846,-0.787917387026342,-0.423948374784093,0.30251585608579,-0.685540724846223,-0.678595925373999,-0.957723736657302,-0.636664048724868,0.0308923211021059,Tournament,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,27,Very Good,2.57706398079032,-0.54092735297295,-0.542166145723291,-0.397349587126329,-0.667179530452569,-0.542236312111282,-0.431271576886615,-0.6041941031705,-0.315513031511607,1.07829764390379,-0.62720285364142,0.235412948489015,Tournament,2021,-0.133722278965824,-0.423974866227459,-0.441101989684253,-0.279658847417058,2.51761677493869,-0.329221300328994,-0.552713464967775,0.961368655583671,0.0156730627277109,0.821472627196783,-0.870474590448687,-1.01186308315544,0.95234971736635,0.0681702376160664,-0.123084078752991,0.925840824361271,0.365695212137259,0.161901515020458,0.47528386943002,-0.130565331044763,-0.475376082791401,0.171979209016149,-0.674158944756364,-0.857139182408063,-0.620654858220692,-0.516681764881254,-1.10960608970951,-0.249081452596782,0.553219680205279,-0.116376953252809,7.33931645754965,18.442171781052
E. Bin Abdul Rahman,Bernepamar,GK,26,1994,1.56519377526987,-0.784131169490301,-0.667308819454393,-0.693380487403687,-0.513658805100234,-0.260457284377013,-0.528395635328606,-0.741441418211795,-1.0618928390212,-0.701080083969737,-1.44343337104452,-1.12936269226595,4.19379393231483,-1.07641131622681,-1.18259566009308,-0.80787898659136,-0.741981817482246,-0.37401190196376,-0.165294992438003,-0.741852947157744,-0.641812039862049,-0.968167351796152,-0.620713331603066,1.39364510734642,Tournament,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,22,Good,1.57917860297238,-0.0260657971831849,-0.632037684172319,-0.568575356772398,-0.666145770880887,-0.51706440143854,-0.488827921447319,0.120892850958551,-0.315513031511607,1.16314168191743,0.867171277893042,-0.380243637055676,Tournament,2021,0.425219666518733,-0.500491040309929,-0.480504839943435,-0.279658847417058,1.58347893962877,-0.843916937781532,-0.769526919535258,-0.754780925627833,-0.2535740851371,1.1069348479279,-1.17803965484891,-1.30016208119559,0.951452555945486,-0.725747705180159,-0.894111024696383,0.988890832593369,0.680745029170348,1.28726096783603,-0.497056134045097,-0.102272310818366,0.0535957326683997,0.236314857923685,-0.666539741786376,-0.857139182408063,-0.574966152070373,-0.261677165814296,-1.07305941114903,0.825457094646608,-0.455952815918825,1.27726913673905,7.773556648477,20.2572783289259
E. Jew,Manlisgamncent,GK,26,1995,1.08782355085397,-0.794728857248004,-0.7773591212989,-0.676151450113889,-0.603303145559593,-0.394567708830701,-0.570079610440206,-0.76870070461071,1.12537936672028,-0.693722512335818,-1.43876858060337,-1.19844517497126,-1.69137323132444,-1.04880500082613,-1.19673306848026,-0.81422576492682,-0.816627117991402,-0.361527783758677,0.102025492432736,-0.784087113891384,-0.620792676712364,-0.961204941703586,-0.632676369444417,-0.735656121160318,Tournament,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,17,Okay,1.0414292604816,-0.510641379102964,-0.575276712520301,-0.529061717623305,-0.666145770880887,-0.51706440143854,-0.500339190359459,-0.274609124020931,-0.315513031511607,1.16314168191743,0.187910309013741,0.851069534033705,Tournament,2021,0.215616436962024,-0.347458692144988,-0.598713390720983,-0.156153401679932,1.04968589088025,-0.663023907919572,-0.618123431219146,-0.426071661351153,-0.0628342697310365,1.29413965950543,-1.17588130351979,-1.25955658851388,0.542346948031299,-0.475084749647481,-0.657415467407919,0.980841895372251,0.75833192440984,1.23267862633,-0.387160212276411,-0.526667614214308,-0.886798605926802,-0.021027737706459,-0.620824523966449,-0.790846259313983,-0.702894529291267,-0.24206142742453,-1.09742386352269,0.310340822466521,-0.0603272401404454,1.59577438515786,-21.942108395797,-53.9323770057505
E. Miyazaki,Greri Landmoslands,GK,32,1988,0.876892521460897,-0.784131169490301,-0.635865876070248,-0.667536931468989,-0.603303145559593,-0.310748693547146,-0.570079610440206,-0.795959991009625,-1.06353641597171,-0.634861939264466,-1.44436632913276,-1.10725629780025,4.18908909197216,-1.06366993988803,-1.18082848404468,-0.805763393812873,-0.713272086517186,-0.299107192733262,-0.432615477308742,-0.657384613690462,-0.647066880649471,-0.915949276101903,-0.716417634333876,0.286408468522914,Tournament,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,19,Okay,0.913921684427088,-0.54092735297295,-0.622577522230316,-0.568575356772398,-0.664422838261417,-0.550626949002196,-0.33918142558949,-0.142775132361104,-0.39339384050385,0.373439481944332,-0.89890724119314,0.481675582706891,Tournament,2021,-0.0638545357802541,-0.65352338847487,-0.244087738388339,-0.279658847417058,0.899556595919725,-0.77046037593151,-0.855520441599998,0.083746833485738,-0.508126703146178,0.233066806191895,-1.2384734920644,-1.34178271119435,0.955041201628943,-0.286403906755612,-0.467529106150382,0.990232322130223,-0.177413054539186,0.187587322788003,-0.622480827368055,-0.158858351271159,-0.651700021278001,-0.342705982244139,-0.628443726936437,-0.885051992131886,-0.712032270521331,-0.34014011937336,-1.04463421671311,1.18621816369585,-0.827024329804699,-0.481410304246653,-8.17676877097058,-20.5030301626042
E. Tushemereirwe,New Uwi,GK,30,1990,0.310709232037382,-0.752338106217191,-0.730194706222683,-0.633078856889392,-0.483777358280448,-0.478386724114255,-0.507553647772806,-0.599693128937438,-1.06715228526284,-0.414134790246898,-1.46115957472092,-1.1625222839645,0.473441431347307,-1.12312969613565,-1.19319871638347,-0.793069837141952,-0.799401279412366,-0.311591310938345,-0.499445598526427,-0.734813919368803,-0.599773313562678,-0.915949276101903,-0.556910463115859,0.371580517663183,Tournament,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,10,Very Bad,0.370628534281765,-0.359211509753033,-0.632037684172319,-0.502719291523909,-0.665456597833099,-0.525455038329454,-0.304647618853068,0.120892850958551,-0.432334244999972,0.621445131522661,0.0520581152378808,0.235412948489015,Tournament,2021,-0.0638545357802541,-0.309200605103753,-0.441101989684253,-0.897186076102688,0.376884235686795,-0.46763944748856,-0.462603231740361,-0.0885861788534924,-0.100485991312203,0.632258461648825,-0.684856376143989,-0.820002130234355,0.944275264578571,-0.317394963076015,-0.501973608890122,0.990232322130223,0.236383720071438,0.759096545615882,-0.614915528405718,-0.0739792905919702,-0.181502851980401,-0.181866859975299,-0.628443726936437,-0.899008396993797,-0.593241634530501,-0.300908642593828,-1.07712015321131,-0.172917737718325,-0.147795701411493,0.264118709095062,-17.7849336884716,-44.4906315861965
H. Brun,Djipines,GK,27,1993,0.871341704897921,-0.741740418459488,-0.753776913760792,-0.684765968758788,-0.463856393733923,-0.277221087433724,-0.549237622884406,-0.730537703652229,-1.06353641597171,-0.708437655603656,-1.45929365854446,-1.17633878050556,-0.27933302348014,-1.12737682158191,-1.16845825170589,-0.788838651584978,-0.764949602254294,-0.386496020168843,-0.432615477308742,-0.671462669268342,-0.641812039862049,-0.919430481148186,-0.732368351455678,-0.0542797280381635,Tournament,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16,14,Bad,0.936096915045265,-0.359211509753033,-0.608387279317311,-0.384178374076631,-0.668213290024251,-0.51706440143854,-0.488827921447319,-0.142775132361104,-0.315513031511607,1.16314168191743,0.459614696565461,0.974200851142643,Tournament,2021,-0.273457765336963,-0.538749127351164,-0.441101989684253,-0.0326479559428057,0.921797972950913,-0.838919892757721,-0.592965751891696,-1.44012378488431,0.175072577572611,2.37269389236163,-1.39927066608416,-1.49405330875077,0.943378103157706,-0.784083811195036,-0.963000030175861,0.984195619214384,1.33435584361213,2.32914154540708,-0.586247027074756,-0.44178855353512,-0.886798605926802,-0.021027737706459,-0.666539741786376,-0.445425238981673,-0.730307752981459,-0.202829950644998,-1.08524163733586,-0.225427476975555,0.356341307983194,1.83483646852225,2.03404484770029,6.06798726901566
J. Vásquez,Nkasland Cronestan,GK,30,1990,0.332912498289284,-0.821223076642262,-0.643726611916284,-0.710609524693486,-0.473816876007186,-0.277221087433724,-0.445027685105405,-0.763248847330927,0.0300996868990296,-0.605431652728791,-1.46115957472092,-1.19291857635484,-1.68666839098177,-1.11251188252,-1.19850024452866,-0.78037628047103,-0.816627117991402,-0.423948374784093,0.168855613650421,-0.762970030524564,-0.689105606948842,-0.936836506379603,-0.732368351455678,-0.224623826318702,Tournament,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22,8,Very Bad,0.381716149590854,-0.0260657971831849,-0.584736874462304,-0.371007161026933,-0.666145770880887,-0.546431630556739,-0.316158887765208,-0.472360111510673,-0.39339384050385,0.621445131522661,0.595466890341322,-1.36529417392718,Tournament,2021,-0.203590022151393,-0.079652082856342,-0.204684888129156,-0.773680630365561,0.293479071819838,-1.16122929679353,-1.01058322872737,-1.69622978933289,-0.45594907746172,0.98074741858547,-1.55359278611656,-1.62500602264929,0.955938363049808,-0.921720561323888,-1.08753015546569,0.984866363982811,0.478548877940156,1.29528778276339,-0.745914652543029,-0.272030432176743,-0.534150728953601,0.043307911201077,-0.620824523966449,-0.755955247159204,-0.666343564371012,-0.477450288101722,-1.10148460558496,-0.179306831600036,-1.20793286237868,-0.959587314924132,-19.5053014493294,-49.936667127775
K. Nakibuule,Eastern Sleboube,GK,34,1987,-0.777250814305842,-0.805326545005707,-0.745916177914755,-0.564162707730198,-0.583382181013069,-0.260457284377013,-0.570079610440206,-0.801411848289408,-1.06353641597171,-0.649577082532304,-1.45929365854446,-1.19291857635484,0.270545191569597,-1.13162394702817,-1.16845825170589,-0.784607466028004,-0.741981817482246,-0.398980138373926,-0.499445598526427,-0.685540724846223,-0.699615288523685,-0.926392891240753,-0.708442275772975,9.05912952997066,Tournament,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19,11,Bad,-0.826833919099762,-0.177495666533116,-0.565816550578298,-0.529061717623305,-0.666834943928675,-0.504478446102169,-0.33918142558949,-0.142775132361104,-0.432334244999972,1.24472248769978,-0.89890724119314,0.358544265597953,Tournament,2021,-0.273457765336963,-0.117910169897577,-0.598713390720983,-0.0326479559428057,-0.824150123997386,-1.01781410461016,-0.743911827856399,-1.8557973933507,-0.118721661969236,1.67323777525815,-1.37121209880555,-1.4686748758247,0.945172425999434,-1.10766689924631,-1.27388374721146,0.978829661066971,1.23090664995947,2.30987718958142,-0.628055258182408,-0.158858351271159,-0.181502851980401,0.107643560108613,-0.628443726936437,-0.553587376661487,-0.693756788061203,-0.320524380983594,-1.10554534764724,-3.88398355504881,-0.425275314298499,0.419383416529802,-55.3814675558257,-140.398606615973
M. Janssens,Ledian,GK,32,1989,0.355115764541187,-0.837119608278816,-0.722333970376647,-0.581391745019996,-0.593342663286331,-0.361040102717279,-0.486711660217006,-0.779604419170276,0.576753380639348,-0.656934654166223,-1.40331617325058,-1.17633878050556,-1.68666839098177,-0.978727430962865,-1.18259566009308,-0.782491873249517,-0.787917387026342,-0.41146425657901,-0.0316347500026336,-0.713696836001983,-0.620792676712364,-0.933355301333319,-0.676540841529372,-0.56531202287978,Tournament,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18,12,Bad,0.381716149590854,-0.571213326842936,-0.565816550578298,-0.476376865424514,-0.666834943928675,-0.525455038329454,-0.35069269450163,-0.472360111510673,-0.432334244999972,1.24472248769978,-0.3554984660897,0.112281631380077,Tournament,2021,-0.622796481264811,-0.538749127351164,-0.125879187610791,-0.156153401679932,0.304599760335432,-0.474635310521896,-0.190442882652487,-1.10423397842683,0.223251363984853,1.37156676583231,-1.07012208839269,-1.20473917339357,0.942480941736841,-0.217129780862944,-0.379209868356179,0.806448255581341,0.833567701611772,2.09957463848464,-0.834707371943091,-0.158858351271159,-1.0631225444134,0.075475735654845,-0.6513013358464,-0.790846259313983,-0.574966152070373,-0.497066026491488,-0.926872696907118,0.159552413255147,0.333680215940346,-0.128604073406904,0.204563617676204,0.693723322084804
